P_id,CultureName_Speaker1,P_cid_Speaker1,CultureName_Speaker2,P_cid_Speaker2,Identifier_LomaxTape,Type_TapeCategory,Recording_Title,Tape_Description,Source_notes,Speech_Description,Monologue/Dialogue,Duration,Lomax_notes,Speakers_Gender/Number/Age,Speakers_Names,SubjectLanguage_SIL14,SubjectLanguage_SIL15,SubjectLanguage_SIL,SubjectLanguage_Given,SubjectDialect_Given,Researcher_Language,Location_Recorded,Coverage,Date,Contributor_Interviewer,Contributor_Researcher,Researcher_Affiliation,Contributor_Depositor,Contributor_Compiler,All_Languages_On_Tape,Source_Format,Audio_notes,ResourceID,Identifier_FileName,Format_Digital,Date_Digitized,Digitized.On,Priority,Digital audio notes,Rights_Online,Contact_Information,Resource_Type,Linguistic_Type,Parla_Accession_No,Old_Parla_Accession_No,C#,C#s_on_Tape,Lomax_Cat_#,Associated_Compilation_Tapes,Metadata_notes,Coding_notes,Source Tag
57,Lower Yangtze,13668,,,T5084,Raw audio,United Nations sessions - Mandarin,United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,,33a: 1 male and 1 female husband and wife chatting. ; 33b: 1 male and 1 female calling a child. ,Dialogue,,"33a: Relaxed and natural. ; 33b: Very short, but good animation.","1 male, 1 female",,,cmn,"Chinese, Mandarin",Mandarin,,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Wolof, Finnish, Yoruba, Kalabari, Tagalog, Mandarin, Kinga, Baule, Guarani","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00285,TP5084R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,1090,33,33a-b,"C30-C33, C512-C513",,T5005 - UN Dialogue Compilation - Mandarin (Work compilation).,,33a and b both used for same coding.,@ALA1971T5084 @ALA1971T5005
58,C Chinese Village,62309,,,,,,,,,,,,,,,cmn,"Chinese, Mandarin",Mandarin,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,5699,150,,,,,Missing metadata,,
59,Chinese Immigrant,62545,,,T5140,Raw dubs,Wei Chinese Conversation,"Wei, Chinese and English (dubs).",,"Conversation between two men in Mandarin, followed by a conversation in English between Carol Kulig and the two men, followed by a conversation in English between one speaker (Wei) and an unidentified man from Philadelphia",Dialogue,0:17:00,,3 males,Wei,ENG,eng,English,English,Chinese,ENG,,,,Carol Kulig,Carol Kulig,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00057,TP5140R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,5955,151,,,,,Missing coding sheet,I believe only the English portion was used for the coding,
60,C Chinese Village,62309,,,,,,,,,,,,,,,cmn,"Chinese, Mandarin",Mandarin,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,6211,152,,,,,Missing metadata,,
61,C Chinese Village,62309,,,,,,,,,,,,,,,cmn,"Chinese, Mandarin",Mandarin,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,6467,153,,,,,Missing metadata,,
62,C Chinese Village,62309,,,,,,,,,,,,,,,cmn,"Chinese, Mandarin",Mandarin,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,6723,154,,,,,Missing metadata,,
63,Tagalog,26368,,,T5084,Raw audio,United Nations sessions - Tagalog,United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,,2 females chatting. ,Dialogue,,Seemed relaxed and fairly animated.,"2 females, in their 20s",,,tgl,Tagalog,Tagalog,,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Wolof, Finnish, Yoruba, Kalabari, Tagalog, Mandarin, Kinga, Baule, Guarani","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00285,TP5084R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,66,32,32,"C30-C33, C512-C513",,T5005 - UN Dialogue Compilation - Tagalog (Work compilation).,,,@ALA1971T5084 @ALA1971T5005
64,Ilocano,17150,,,T5080,Raw audio,United Nations sessions - Ilocano,United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,,Man and his niece chatting. ,Dialogue,,Relaxed and more animated.,"1 male, in his 50s, 1 female, in her 20s",,,ilo,Ilocano,Ilocano,,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Greek, Spanish, Yugoslav, Dyala, Persian, Bura, Persian, Pushtu, Kurundi, Tagalog, Ilocano, French, Lutaro, Lutase, German","1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00276,TP5080R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,14402,46,46,"C34-C37, C42, C47, C516",,T5043 - Black Africa Compilation - Ilocano (Area compilation); T5053 - Malay Compilation - Ilocano (Area compilation); T5007 - UN Dialogue Compilation - Ilocano (Work compilation).,Culture incorrectly listed as Manobo on older data.,,@ALA1971T5080 @ALANDT5043 @ALANDT5053 @ALA1971T5007
65,Manobo,20791,,,T5163,Raw audio,Ilianen Manobo from SIL,"Ilianen Manobo recordings collected in the Philippines by Wrigglesworth and Shand, sent from Morris Cottle, SIL Philippines.",,Two women talking (71a),Dialogue,,,2 females,,MBI,mbi,"Manobo, Ilianen",Ilianen Manobo,,ENG,,,Oct-71,,Wrigglesworth and Shand,SIL Philippines,"Morris Cottle, SIL Philippines",Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ","71b: ""Very poor""",A00292,TP5163R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,36418,71,71a-b,C71a-C71b,1010,T5018 - Dialogue Compilation - Ilianen Manobo from SIL (Work compilation).,,I believe just 71a was used for coding. Notes on 71b says audio is poor.,@ALA1971T5163 @ALANDT5018
66,Casiguran,13256,,,T5165,Raw audio,Casiguran from the Philippines,"Text Material from Casigruan or Agta Language. Casiguran recordings collected in the Philippines by Thomas and Janet Headland, sent from Morris Cottle, SIL Philippines.",,Conversational text between two or three people talking together.  Mother recounts her trip to town to her son.,Dialogue,,,"1 male, 1 female",,DGC,dgc,"Agta, Casiguran Dumagat",Casiguran,,ENG,,,1971-08-07,,"Thomas Headland, Janet Headland",SIL Philippines,"Morris Cottle, SIL Philippines",Alan Lomax,,60 Minute Analog Cassette Tape. ,,A00294,TP5165R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,37442,73,73,C73,1012,T5018 - Dialogue Compilation - Casiguran from the Philippines (Work compilation).,Date on T-list says Oct-71,,@ALA1971T5165 @ALA1971T5018
67,Bontoc,30140,,,T5082,Raw audio,United Nations Recordings: Pampango Chatting and Role-Playing,Alan Lomax Parlametrics - United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",Casual chatting. (26a). Role-playing mother and daughter (26b). ,Dialogue,,Relaxed and natural (26a).,"2 females, in their 20s",Hede Matulac; Estrella Kanlas,PMP,pam,Pampangan,Pompango,,ENG,,,1971-07,,Alan Lomax,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00279,TP5082R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,,I,,Permissions under negotiations,,Sound,Primary Text,53313,26,26a-b,"C22b, C26, C20, C503, C504b, C500a",,T5004 - UN Dialogue Compilation - Pampango (Work compilation).,,,@ALA1971T5082 @ALA1971T5004
68,Chamorro,13454,,,T5229,Raw audio,Chamorro And Palauan Recordings,"Chamorro and Palauan recordings from unknown source, possibly from Rich Brislin of East-West Center in Honolulu, Hawaii..",,Two men talking in Chamorro,Dialogue,,,2 males,,CJD,cha,Chamorro,Chamorro,,ENG,,,,,"Possibly from Rich Brislin of East-West Center in Honolulu, Hawaii","East-West Center, Honololu, Hawaii (possibly)",,Alan Lomax,Chamorro; Palauan,60 Minute Analog Cassette Tape. ,,A00308,TP5229R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,45122,88,88,,1093 (1084?),T5021 - Dialogue Compilation - Chamorro (Work compilation).,,,@ALANDT5229 @ALANDT5021
69,Palau,23354,,,T5229,Raw audio,Chamorro And Palauan Recordings,"Chamorro and Palauan recordings from unknown source, possibly from Rich Brislin of East-West Center in Honolulu, Hawaii..",,,Dialogue,,Good animation,"1 male, 1 female",,PLU,pau,Palauan,Palauan,,ENG,,,,,"Possibly from Rich Brislin of East-West Center in Honolulu, Hawaii","East-West Center, Honololu, Hawaii (possibly)",,Alan Lomax,Chamorro; Palauan,60 Minute Analog Cassette Tape. ,,A00308,TP5229R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,45634,89,89,,1093 (1084?),T5021 - Dialogue Compilation - Palauan recording (Work compilation).,,,@ALANDT5229 @ALANDT5021
70,Samoa,24795,,,T5246,Raw audio,Pacific Recordings,"Pacific recordings, Samoan, Chamorro, Pidgin, Tagalog, and Palauan sent from Joan Halifax.",,,,,,,,,smo,Samoan,Samoan,,ENG,,,,,Joan Halifax,,,Alan Lomax,"Samoan, Chamorro, Pidgin, Palauan, Tagalog",60 Minute Analog Cassette Tape. ,,A00310,TP5246R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,323,129,,,2006a,,Assuming that this recording corresponds to the Samoa coding because its our only Samoan recording. Coding sheet missing.,,@ALANDT5246
71,Native Hawai'i,16611,,,T5224,Raw audio,Hawaiian Language Radio Show,"Pacific recordings from the Solomon Islands, Bellona Island, and Hawaiian Islands sent from Samuel Elbert.",,Native speaker discussion in Ni'ihau and O'ahu dialects on the radio.,,,,,,HWI,haw,Hawaiian,,Ni'iahu and O'ahu,,,Hawaii,1972-04-25,,,,Samuel Elbert,Alan Lomax,Pacific languages,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00195,TP5224R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,59970,117,,,1088,,"Assuming that both Hawaii codings correspond to this recording, as it is the only Hawaiian recording we have in the metadata. Coding sheet missing. Date on T-list says 6/7/1972",,@ALA1972T5224
72,Native Hawai'i,16611,,,T5224,Raw audio,Hawaiian Language Radio Show,"Pacific recordings from the Solomon Islands, Bellona Island, and Hawaiian Islands sent from Samuel Elbert.",,Native speaker discussion in Ni'ihau and O'ahu dialects on the radio.,,,,,,HWI,haw,Hawaiian,,Ni'iahu and O'ahu,,,Hawaii,1972-04-25,,,,Samuel Elbert,Alan Lomax,Pacific languages,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00195,TP5224R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,60482,118,,,1088,,"Assuming that both Hawaii codings correspond to this recording, as it is the only Hawaiian recording we have in the metadata. Coding sheet missing. Date on T-list says 6/7/1972",,@ALA1972T5224
73,Big Nambas,12200,,,T5212,Raw audio,Big Nambas Conversation Part 1,"Big Nambas recordings from Brenuai, W. Malekula sent from Greg Fox, 1972.",,"Conversation with two men.  One from Brenwei, one from N. Malekula.",Dialogue,,,2 males,,NMB,nmb,"Nambas, Big",Big Nambas,,ENG,"Brenwei Village, Malekula Island","Brenwei Village, Malekula Island",1972-04-24,,Greg Fox,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00171,TP5212R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,42562,83,83,,1077,,,The three Big Nambas recordings all used for same coding.,@ALA1972T5212
73,Big Nambas,12200,,,T5212,Raw audio,Big Nambas Conversation Part 2,"Big Nambas recordings from Brenuai, W. Malekula sent from Greg Fox, 1972.",,Three person conversation.,Dialogue,,,2 males,,NMB,nmb,"Nambas, Big",Big Nambas,,ENG,"Brenwei Village, Malekula Island","Brenwei Village, Malekula Island",1972-04-26,,Greg Fox,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00172,TP5212R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,42562,83,83,,1077,,,The three Big Nambas recordings all used for same coding.,@ALA1972T5212
73,Big Nambas,12200,,,T5212,Raw audio,Big Nambas Tape Side 2,"Big Nambas recordings from Brenuai, W. Malekula sent from Greg Fox, 1972.",,,Dialogue,,,2 males,,NMB,nmb,"Nambas, Big",Big Nambas?,,,,,,,Greg Fox,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00173,TP5212R03,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,42562,83,83,,1077,,,The three Big Nambas recordings all used for same coding.,@ALA1972T5212
74,Bunlap,12816,,,,,,,,,,,,,,,,,Bunlap,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,54338,106,,,,,Not sure if our how these 2 codings match up with the 5 Kal Muller Bunlap recordings. Coding sheets missing.,,
75,Bunlap,12816,,,,,,,,,,,,,,,,,Bunlap,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,54850,107,,,,,Not sure if our how these 2 codings match up with the 5 Kal Muller Bunlap recordings. Coding sheets missing.,,
76,Bunlap,12816,,,T5068,Raw audio,Assorted Langs from the Parlametrics Collection - Pentecost,"Language sample from Parlametrics tape collection, Tape I, containing dubs from Alan Lomax's tape library for use in establishing useable samples, dubbed by Alexis Kondratiev, includes Azerbaijan, Pomo, Dani, Siriono, Eseeje, Tacana, Molina, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan."," Dubbed from T3074 from Alan Lomax's library, recordings from Landdwe near Point Cross, Pentecost Island, New Hebrides, at a land-dive put on for tourists in a Christian village (9/26/68) by Nick Mutticombe and Kal Muller.  Film soundtrack.",Four excellent monologues with different speakers.,Monologue,,,1 male; 1 male; 1 male; 1 male,,,,,Pentecost Island,,,"Landdwe, Pentecost Island, New Hebrides",,9/26/68,,Nick Mutticombe; Kal Muller,,,Alan Lomax,"Azerbaijani, Pomo, Dani, Siriono, Esseje, Tacana, Molna, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00264,TP5068R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,8389188,522,522,,Tape I,T5011 - Monologue Compilation - Pentecost (Work compilation).,Pentecost not listed on T-list but this T number is connected to this coding. I don't think Bunlap or Pentecost is the name of a language. Probably means Sa?,,@ALA1968T5068 @ALA1971T5011
77,Mugaba,24245,,,T5224,Raw audio,Taboos about Monitor lizards,"Pacific recordings from the Solomon Islands, Bellona Island, and Hawaiian Islands sent from Samuel Elbert.",,Pacfic recordings concerning taboos about Monitor lizards (hokai).,,,,,,MNV,mnv,Rennell-Bellona,,,,"Matahenua Village, Bellona Island, Solomon Islands","Matahenua Village, Bellona Island, Solomon Islands",1972-01-13,,Rolf Kuschel,,Samuel Elbert,Alan Lomax,Pacific languages,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00194,TP5224R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,53826,105,,,1088,T5224 - Taboos about Monitor lizards (Raw audio).,"Computer coding printout lists this coding as C105, but this does not match tape index. Coding sheet missing. Assuming that this recording corresponds to the Bellona coding because its our only Bellona recording. Date on T-list says 6/7/1972",,@ALA1972T5224
78,Nukumanu,22881,,,T5247,Raw audio,Tauu and Nukumanu samples,"Tauu, Nukumanu recordings sent by Aruid Kiemensen of Copenhagen, Coral Island ""Noises from Sea, Sea Birds, People Talking Together.""",,"""Noises from Sea, Sea Birds, People Talking Together."" ",Dialogue,,,2 males,,NHO and NUQ,nho and nuq,Takuu,Tauu and Nukumanu,,ENG,,,,,Aruid Kiemensen,,,Alan Lomax,Tauu; Nukumanu,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",Jungle noises in background. Poor quality recording.,A00226,TP5247R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,65090,127,,,2001,T5247 - Tauu and Nukumanu samples (Raw audio).,Coding sheets missing,,@ALANDT5247
79,Rossel Island,50270,,,T5135,Raw audio,Rossel Tape Side One,Rossel recordings sent by Jim Henderson of SIL New Guinea.,,Conversation between five people.  Kevin describes the group's recent activity-- having dragged two canoe hulls down from the bush where they were cut. ,Dialogue,0:02:30,Recorded while sitting on floor in village man's house. Good natural conversation.,"3 males, ages 35, 32, and 15, 1 female, age 35",Kevin ; Karawa ; Bruno ; Jim Henderson ; Byeeka,YLE,yle,Yele,Rossel,,ENG,"Milne Bay, Rossel Island","Milne Bay, Rossel Island",1971-07-28,Jim Henderson,Jim Henderson,SIL New Guinea,Jim Henderson,Alan Lomax,,"1/4"" wide magnetic audio tape.  3"" reel.  7.5 ips.  ",Some noise from handheld mic at beginning and low level mumble of conversation in background. ,A00046,TP5135R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,29762,61,61,,,T5013 - Dialogue Compilation - Rossel (Work compilation).,transcription available,Both Rossel recordings used for same coding.,@ALA1971T5135 @ALA1971T5013
79,Rossel Island,50270,,,T5135,Raw audio,Rossel Tape Side Two,Rossel recordings sent by Jim Henderson of SIL New Guinea.,,Description of trip to the garden. ,Monologue,0:03:25,,1 speaker,Karawa,YLE,yle,Yele,Rossel,,ENG,"Milne Bay, Rossel Island","Milne Bay, Rossel Island",1971-07-30,,Jim Henderson,SIL New Guinea,Jim Henderson,Alan Lomax,,"1/4"" wide magnetic audio tape.  3"" reel.  7.5 ips.  ",Child scrapes coconut in the background.,A00047,TP5135R02,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,29762,61,61,,,T5013 - Dialogue Compilation - Rossel (Work compilation).,transcription available,Both Rossel recordings used for same coding.,@ALA1971T5135 @ALA1971T5013
80,Arapesh,10803,,,T5166,Raw audio,Muhiang Arapesh from New Guinea,Muhiang Arapesh recordings collected in New Guinea and sent by Donald Tuzin of Australian National University.,,Husband and wife quarrelling over gossip and marital strife.,Dialogue,,,"1 male, 1 female",Kwandinaolo ; Kowala,AOJ,aoj,Mufian,Muhiang Arapesh,Ilahita Arapesh,,"Ilahita, New Guinea","Ilahita, New Guinea",1971-06-21,,Donald Tuzin,Australian National University,,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00100,TP5166R01,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,37954,74,74,C74,1013,T5018 - Dialogue Compilation - Muhiang Arapesh recording (Work compilation).,transcription available. Date on T-list says Oct-71,,@ALA1971T5166 @ALANDT5018
81,Coastal Asmat,10962,,,T5270,Raw audio,Basim,"East Indonesian recordings including Komodo, Savu, Aru Islands, Kei Islands, Asmat, Basim, Toraja, sent by Ivan Polunin.",,"Discussion of the Linblad Explorer in Basim, a dialect of the Asmat group in Irian Jaya.",,,,,,,,,Basim,,ENG,,,,,Ivan Polunin,,,Alan Lomax,Komodo; Savu; Asmat; Basim; Toraja,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00249,TP5270R06,"24 bit, 96 kHz, uncompressed .wav",2005-01,Revox,I,,Permissions under negotiations,,Sound,Primary Text,52802,103,,,2005,,"Computer coding printout lists this coding as C103, but this does not match tape index. Coding sheet missing.",,@ALANDT5270
82,Dani,14378,,,T5055,Raw dubs,Dani,"Lomax Collection Tape #2, compilation tape of samples taken from Alan Lomax's tape library.",Dubbed from T1252 in Alan Lomax's library. From Michael Rockefeller and Gardner Expedition. ,Conversation about pig stealing. ,Dialogue,0:03:24,Good animation.,3 males,,,,,Dani,,ENG,"Baliem Valley, Irian Barat, New Guinea",Dani Valley,Summer 1961,,Alan Lomax; BBC;  Robert Gardner; Stephanie Dinkins; Richard Waterman; Juanita Elbein; Terence Hopkins and Elizabeth Hopkins,,,Alan Lomax,Irish; Italian (Assissi); Italian (Barga); Dani (New Guinea); French (Martnique); Ethiopian (Ethiopia); Guajiro; Italian (Umbria); Sandostoes (Brazil); BaHima (Uganda); Georgian (Soviet Union),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ","Some coughing and sneezing and noise of tools, but fairly clear recording.",A00018,TP5055R05,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,24642,56,56,Library Code T1252,,T5010 - Dialogue Compilation - Dani (Work compilation).,,,@ALA1961T5055 @ALA1971T5010
82,Dani,14378,,,T5068,Raw dubs,Assorted Langs from the Parlametrics Collection - Dani,"Language sample from Parlametrics tape collection, Tape I, containing dubs from Alan Lomax's tape library for use in establishing useable samples, dubbed by Alexis Kondratiev, includes Azerbaijan, Pomo, Dani, Siriono, Eseeje, Tacana, Molina, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan.",Dubbed from T1252 in Alan Lomax's library. From Michael Rockefeller and Gardner Expedition. ,Conversation about pig stealing. ,Dialogue,0:03:24,Good animation.,3 males,,,,,Dani,,ENG,"Baliem Valley, Irian Barat, New Guinea",Dani Valley,Summer 1961,,Robert Gardner,,,Alan Lomax,"Azerbaijani, Pomo, Dani, Siriono, Esseje, Tacana, Molna, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ","Some coughing and sneezing and noise of tools, but fairly clear recording.",A00264,TP5068R03,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,24642,56,56,Tape I,,T5010 - Dialogue Compilation - Dani (Work compilation).,,,@ALA1961T5068 @ALA1971T5010
83,Toaripi,27204,,,T5079,Raw audio,United Nations sessions - Toaripi Pidgin,Alan Lomax Parlametrics - United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",2 males chatting. ,Dialogue,,Relaxed and animated.,"2 males, in their 40s",,,tpi,Tok Pisin,Pidgin (New Guinea),,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Galela, Toaripi, Pidgin (New Guinea), Swazi, Molucca","1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00275,TP5079R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,38977,19,19,"C500b-C502, C18-C19",,T5002 - UN Dialogue Compilation - Toaripi Pidgin (Work compilation).,,,@ALA1971T5079 @ALA1971T5002
84,Toaripi,27204,,,T5079,Raw audio,United Nations sessions - Toaripi,Alan Lomax Parlametrics - United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.","""His trip to this country.""  (501a); Folk tale.  (501b)",Monologue,, Speech-like delivery. (501a) ; Much more animated. (501b),"1 male, age 40",,,tqo,Toaripi,Toaripi,,,,"Kerema, Gulf Province, Papua New Guinea",1971-07,,Alan Lomax,,,Alan Lomax,"Galela, Toaripi, Pidgin (New Guinea), Swazi, Molucca","1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00275,TP5079R02,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,8452675,501,501a-b,"C500b-C502, C18-C19",,T5031 - Practice Coding Tape #2 - Toaripi (Coding); T5003 - UN Monologue Compilation - Toaripi (Work compilation).,,C501a and b used for same coding,@ALA1971T5079 @ALANDT5031 @ALA1971T5003
85,Burarra,62533,,,T5151,Raw audio,Burerra Chatting I ,"Australian Aboriginal language samples sent from David Glasgow of SIL, Australia.",,Chatting over the day's activities. ,Dialogue,0:04:16,Very natural.,"2 males, ages 35 and 25, 1 child, age 12",Jimmy ; Nym ; Mark,BVR,bvr,Burarra,Burera,,ENG,"Maningrida, Northern Territory, Australia","Maningrida, Northern Territory, Australia",,,David Glasgow,SIL Australia,SIL Australia,Alan Lomax,Pentupi (Australia); Yanyula (Australia); Burera (Australia); Wolmatjan (Australia); Guguyatnigi (Australia); Tiwi (Australia),"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00076,TP5151R05,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,25666,57,57,"C-62a-62b, C-58a-C58b",903,T5041 - Australia Compilation - Burera (Area compilation); T5045 - Demonstration Tape - Burera (Demonstration); T5010 - Dialogue Compilation - Burera (Work compilation).,,Both Burarra recordings used for same coding.,@ALANDT5151 @ALANDT5041 @ALANDT5045 @ALA1971T5010
85,Burarra,62533,,,T5151,Raw audio,Burerra Chatting II,"Australian Aboriginal language samples sent from David Glasgow of SIL, Australia.",,Chatting over the day's activities. ,Dialogue,0:02:03,Very natural.,"2 males, ages 35 and 25, 1 child, age 12",Jimmy ; Nym ; Mark,BVR,bvr,Burarra,Burera,,ENG,"Maningrida, Northern Territory, Australia","Maningrida, Northern Territory, Australia",,,David Glasgow,SIL Australia,SIL Australia,Alan Lomax,Pentupi (Australia); Yanyula (Australia); Burera (Australia); Wolmatjan (Australia); Guguyatnigi (Australia); Tiwi (Australia),"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00077,TP5151R06,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,25666,57,57,"C-62a-62b, C-58a-C58b",903,T5041 - Australia Compilation - Burera (Area compilation); T5045 - Demonstration Tape - Burera (Demonstration); T5010 - Dialogue Compilation - Burera (Work compilation).,,Both Burarra recordings used for same coding.,@ALANDT5151 @ALANDT5041 @ALANDT5045 @ALA1971T5010
86,Tunuvivi,30077,,,T5151,Raw audio,Tiwi Description II,"Australian Aboriginal language samples sent from David Glasgow of SIL, Australia.",,Conversation between two females with male interjector. Younger woman is the wife of tribal elder-- other woman no special status. Natural chatting about daily activities. A trip in the bush to get food.  ,Dialogue,0:04:22,,"2 females, ages 45 and 55, 1 male, age 58",,TIW,tiw,Tiwi,Tiwi,,ENG,"Bathurst Island, Northern Territory, Australia","Bathurst Island, Northern Territory, Australia",,,David Glasgow,SIL Australia,SIL Australia,Alan Lomax,Pentupi (Australia); Yanyula (Australia); Burera (Australia); Wolmatjan (Australia); Guguyatnigi (Australia); Tiwi (Australia),"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00083,TP5151R12,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,26690,58,58a-b,"C-62a-62b, C-58a-C58b",903,T5041 - Australia Compilation - Tiwi (Area compilation); T5010 - Dialogue Compilation - Tiwi (Work compilation).,,C58a and b used for same coding,@ALANDT5151 @ALANDT5041 @ALA1971T5010
